House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
Nam,Nam,6.0,,Sổ đỏ.,Cơ bản.,5.0,,3,Hà Nội,Hoàng Mai,Phường Tương Mai,Đường Nguyễn An Ninh,53.0,7900.0,20.9873744,105.8517517
,,,,Sổ đỏ/ Sổ hồng,,,,3.5,Hà Nội,Đông Anh,Xã Uy Nỗ,,48.0,2100.0,21.1437054,105.8563692
,,,,Sổ đỏ/ Sổ hồng,,,15.0,,Hà Nội,Tây Hồ,Phường Xuân La,Đường Lạc Long Quân,688.0,56000.0,21.0684199,105.8072107
Đông - Nam,,,,Sổ đỏ/ sổ hồng,,,4.77,8,Hà Nội,Sóc Sơn,Xã Quang Tiến,Đường Bắc Thượng,112.0,2464.0,21.2295473,105.7905055
,,,,,,,,,Hà Nội,Quốc Oai,Xã Phú Cát,Đường Phú Cát,100.0,2100.0,20.9581791,105.5670519
Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,,4.88,8,Hà Nội,Đông Anh,Xã Việt Hùng,Đường 19,58.0,3248.0,21.1396709,105.878025
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Hoàn Kiếm,Phường Hàng Bạc,Phố Hàng Dầu,420.0,214000.0,21.0328858,105.852844
Tây - Bắc,,,,Đã có sổ.,,,5.06,6,Hà Nội,Mê Linh,Thị trấn Quang Minh,,100.0,3500.0,21.0283334,105.854041
,,,,,,4.0,6.6,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Đường Trần Quang Diệu,75.0,18500.0,21.021334,105.8243089
Tây - Nam,,3.0,2.0,Sổ đỏ/ Sổ hồng,,2.0,4.5,3.5,Hà Nội,Sóc Sơn,Xuân Bách Xã Quang Tiến,Đường 131,66.0,1700.0,21.0283334,105.854041
,,6.0,,Sổ đỏ,,,,,Hà Nội,Ba Đình,Phường Liễu Giai,Đường Văn Cao,48.0,6500.0,21.0337658,105.8130407
,,,,Sổ đỏ/ Sổ hồng,,,8.8,,Hà Nội,Hai Bà Trưng,Phường Bách Khoa,Phố Lê Thanh Nghị,262.0,53000.0,21.0019039,105.8466877
,,6.0,,,,,,,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,55.0,6500.0,21.0329958,105.7928552
Đông - Nam,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,,,,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,,80.0,3300.0,21.0058017,105.7485162
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Tây Hồ,Phường Quảng An,đường Tây Hồ,135.0,38900.0,21.0630535,105.8283851
,,,,Sổ đỏ/ Sổ hồng,,6.0,5.5,,Hà Nội,Hai Bà Trưng,Phường Bùi Thị Xuân,Đường Triệu Việt Vương,72.0,39000.0,21.0167569,105.8497633
,,3.0,3.0,Sổ đỏ/ Sổ hồng,,3.0,4.0,4,Hà Nội,Đống Đa,Phường Phương Liên,Phố Kim Hoa,41.0,4200.0,21.0099244,105.8375074
Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,,,,Hà Nội,Long Biên,Phường Thượng Thanh,,99.0,2700.0,21.0180529,105.9016988
,,6.0,5.0,Sổ đỏ.,,5.0,,,Hà Nội,Ba Đình,Phường Đội Cấn,Đường Đội Cấn,54.0,6500.0,21.0352974,105.8246773
,,6.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,2.0,11.0,3,Hà Nội,Nam Từ Liêm,Phường Phú Đô,Đường Phú Đô,116.0,8900.0,21.0023029,105.7633439
,,5.0,,,Full nội thất ở ngay:,5.0,5.5,,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Hoa Bằng,40.0,8500.0,21.0159572,105.7937939
,,6.0,6.0,Sổ đỏ/ Sổ hồng,,6.0,10.0,12,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Hào Nam,65.0,22500.0,21.021334,105.8243089
