House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
,,4.0,3.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Thanh Trì,Xã Tứ Hiệp,đường Tứ Hiệp,127.0,2980.0,20.9446726,105.8555904
Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,4.0,,,Hà Nội,Gia Lâm,Xã Dương Xá,,145.5,29100.0,21.0028663,105.9658013
Tây,Đông - Nam,3.0,2.0,,,,,,Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Minh Khai,100.0,4500.0,21.0141355,105.8654629
,,2.0,2.0,,,,,,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng Liệt,79.0,2500.0,20.966384,105.8377568
,,1.0,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,Đường Đại lộ Thăng Long,26.0,1400.0,21.0058017,105.7485162
,,3.0,3.0,Hợp đồng mua bán,Cơ bản,4.0,10.0,8,Hà Nội,Hoài Đức,Thị trấn Trạm Trôi,Dự án Westpoint - Nam đường 32,95.0,8150.0,21.0681821,105.7099045
,,2.0,2.0,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,67.2,2822.4,21.0028663,105.9658013
,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất,,,,Hà Nội.,Ba Đình,Phường Thành Công,Phố Láng Hạ,125.0,10600.0,21.0337658,105.8130407
,,3.0,2.0,,,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Lê Đức Thọ,108.0,5350.0,21.0274134,105.7833341
Tây - Nam,,2.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Hoài Đức,Xã Kim Chung,Đường 32,69.5,1700.0,21.0527214,105.7095565
,,2.0,2.0,,Full đồ ,,,,Hà Nội,Hai Bà Trưng,Phường Bạch Đằng,Đường Lương Yên,90.0,5850.0,21.0141355,105.8654629
Đông - Nam,Đông - Nam,4.0,4.0,,,,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,185.0,11700.0,21.0205027,105.7639271
,,,,Sổ đỏ.,,3.0,7.0,21,Hà Nội,Tây Hồ,Phường Phú Thượng,,140.0,38500.0,21.0791733,105.815656
,,,,Sổ đỏ/ Sổ hồng.,,,4.52,,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,Đường S,37.0,3150.0,21.0076419,105.9372958
,,,,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Đồng Me,58.0,7200.0,21.0100131,105.786309
Tây - Bắc,Đông,2.0,2.0,Sổ hồng,,,,,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Trần Thủ Độ,52.0,2300.0,20.966384,105.8377568
,,3.0,2.0,Hợp đồng mua bán. Sổ đỏ,,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,,141.0,9500.0,21.0791733,105.815656
,,3.0,,,,5.0,3.0,4,Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Trung Kính,30.0,3.9,21.0373324,105.7910892
,,6.0,4.0,Sổ đỏ/ Sổ hồng.,,5.0,,,Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Vĩnh Hưng,36.0,3350.0,20.9712353,105.8842808
,,4.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,5.6,4,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Khang,83.0,13600.0,21.0159572,105.7937939
,,4.0,4.0,Sổ đỏ chính chủ,Đầy đủ,5.0,4.2,4,Hà Nội,Tây Hồ,Phường Bưởi,đường Võng Thị,42.0,6000.0,21.0513301,105.8100703
,,4.0,4.0,Sổ đỏ/ Sổ hồng.,,5.0,,3,Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Nam Dư,50.0,3400.0,20.9712353,105.8842808
,,6.0,,,,5.0,,,Hà Nội,Cầu Giấy,Phường Quan Hoa,Đường Cầu Giấy,42.0,6600.0,21.0341687,105.8006138
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 2,Đường Cổ Nhuế,39.0,3400.0,21.0608239,105.7781037
,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,5.5,4,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Hoa Bằng,40.0,8.6,21.0159572,105.7937939
,,6.0,5.0,Sổ đỏ/ Sổ hồng,,5.0,,,Hà Nội,Hai Bà Trưng,Phường Thanh Nhàn,,55.0,9600.0,21.006634,105.8561736
,,4.0,4.0,Sổ đỏ chính chủ giao dịch ngay,"Đầy đủ, sang xịn",5.0,4.0,6,Hà Nội,Tây Hồ,Phường Bưởi,Đường Trích Sài,42.0,6200.0,21.0513301,105.8100703
,,6.0,5.0,Sổ đỏ/ Sổ hồng.,,5.0,4.0,,Hà Nội,Hai Bà Trưng,Phường Thanh Nhàn,Đường Trần Khát Chân,46.0,4800.0,21.006634,105.8561736
,,5.0,5.0,+ Sổ đỏ.,,5.0,,,Hà Nội,Hoàng Mai,Phường Thanh Trì,Đường Nguyễn Khoái,50.0,5650.0,20.9946062,105.885675
,,3.0,2.0,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội,Long Biên,Phường Đức Giang,,96.0,2150.0,21.0602793,105.8938304
,,6.0,6.0,Sổ đỏ/ Sổ hồng.,,5.0,,,Hà Nội,Hoàng Mai,Phường Mai Động,Đường Đền Lừ,60.0,6500.0,20.9834105,105.843623
,,4.0,4.0,"Sổ đỏ chính chủ, giao dịch ngay","Đầy đủ, tặng lại hết",5.0,4.0,4,Hà Nội,Tây Hồ,Phường Bưởi,Đường Lạc Long Quân,35.0,5100.0,21.0513301,105.8100703
Đông,,,,Sổ đỏ/ Sổ hồng,,,6.0,7,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,Đường Đường Y,62.8,7500.0,21.0076419,105.9372958
,,4.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Trãi,156.0,5950.0,20.9955213,105.8044695
,,2.0,2.0,Sổ đỏ/ Sổ hồng.,Full đồ.,,,,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,,65.0,2500.0,21.0058017,105.7485162
,,,,Có,,,,,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Trường Chinh,98.56,14300.0,21.0283334,105.854041
Tây - Bắc,Đông - Nam,2.0,2.0,,"Nội thất có tủ bếp, vệ sinh và 03 ĐH Daikin.",,,,Hà Nội,Cầu Giấy,Phường Yên Hòa,Phố Trung Kính,70.8,3100.0,21.0159572,105.7937939
Đông - Nam,Nam,,,,,,,,Hà Nội,Tây Hồ,Phường Xuân La,,110.0,11000.0,21.0684199,105.8072107
,,5.0,5.0,Sổ đỏ.,,5.0,,,Hà Nội,Hoàng Mai,Phường Tân Mai,Đường Kim Đồng,65.0,10200.0,20.9831197,105.8487776
,,1.0,1.0,Sổ đỏ/ Sổ hồng,,1.0,12.0,,Hà Nội,Hai Bà Trưng,Phường Thanh Lương,Đường Trần Khát Chân,132.0,9200.0,21.0105311,105.8630736
,,6.0,6.0,Sổ đỏ/ Sổ hồng.,,7.0,,,Hà Nội,Hoàng Mai,Phường Tân Mai,Đường Tân Mai,71.0,13500.0,20.9831197,105.8487776
,,3.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Huy Tưởng,135.0,5800.0,20.9955213,105.8044695
Tây - Nam,,5.0,3.0,,Full đồ nội thất.,5.0,5.0,8,Hà Nội,Tây Hồ,Phường Tứ Liên,Đường Nước Phần Lan,55.0,12200.0,21.0283334,105.854041
,Nam,2.0,2.0,,,,,,Hà Nội,Cầu Giấy,Phường Mai Dịch,Phố Trần Bình,65.0,2450.0,21.0358867,105.7785908
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Gia Lâm,Xã Dương Xá,,75.0,2500.0,21.0028663,105.9658013
Đông - Nam,Đông - Nam,3.0,2.0,Hợp đồng mua bán,Bàn giao thô ,,,,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,,95.8,12900.0,21.0799477,105.7736253
Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,,,4.5,,Hà Nội,Hà Đông,Phường Vạn Phúc,Đường Văn Phúc,46.0,4050.0,20.9799295,105.774952
,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Hà Đông,Phường Văn Quán,,80.0,2560.0,20.9741659,105.7873563
,,2.0,1.0,Sổ đỏ/ Sổ hồng,"* Bàn giao nội thất 5* được nhập khẩu từ các thương hiệu nổi tiếng như: Kohler, Hafele, Low - e.",,,,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,,54.0,2900.0,21.0058017,105.7485162
,,,,Sổ đỏ/ Sổ hồng.,,,3.2,2,Hà Nội,Long Biên,Phường Việt Hưng,Đường Kim Quan,30.0,2250.0,21.0602793,105.8938304
,,,,Sổ đỏ/ Sổ hồng,,,5.0,5,Hà Nội,Quốc Oai,Xã Phú Mãn,Đường Phú Mãn,144.0,1728.0,21.0283334,105.854041
,,,,,,4.0,4.5,,Hà Nội,Thanh Oai,Xã Cự Khê,,67.5,5000.0,21.0283334,105.854041
Tây - Bắc,Đông - Nam,2.0,2.0,Đang chờ,Thiết bị gắn tường,,,,Hà Nội,Hoài Đức,Xã Vân Canh,Đường Xuân Phương,81.0,1500.0,21.0294802,105.7276153
,,1.0,1.0,,Nội thất lung linh.,,,,Hà Nội,Tây Hồ,Phường Xuân La,Đường Lạc Long Quân,39.0,2000.0,21.0684199,105.8072107
,,5.0,,,,4.0,5.2,,Hà Nội,Đống Đa,Phường Trung Liệt,Phố Thái Hà,46.0,5300.0,21.0110935,105.8213374
,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Có đủ nội thất.,,,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Trần Duy Hưng,100.0,6000.0,21.0373324,105.7910892
Đông,Đông,4.0,4.0,Sổ đỏ/ Sổ hồng,Hoàn thiện mặt ngoài ,4.0,6.0,6,Hà Nội,Hoài Đức,Xã Sơn Đồng,Đường 422,80.0,8000.0,20.9599107,105.7387786
,,,,,,5.0,4.6,,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,60.0,6950.0,21.0329958,105.7928552
Đông - Bắc,Tây - Nam,2.0,1.0,Sổ đỏ,"Sàn gỗ, tủ bếp, điều hoà, bình nóng lạnh, giường ngủ, tủ quần áo, sooffa,...",,,,Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Cầu Bươu,62.0,1490.0,20.9598832,105.7880872
Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,,7.6,,Hà Nội,Hoài Đức,Xã Kim Chung,Đường Quốc lộ 32,28.0,6000.0,21.0527214,105.7095565
,,2.0,1.0,,,,,,Hà Nội,Hà Đông,Phường Dương Nội,Đường Tố Hữu,56.5,1550.0,20.9624811,105.743952
,,3.0,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,đường Mễ Trì,189.0,7700.0,21.0205027,105.7639271
,,3.0,2.0,,,,,,Hà Nội,Hà Đông,Phường Mỗ Lao,Đường Trần Phú,145.0,5220.0,20.9853667,105.783635
Đông - Nam,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,142.0,6200.0,21.0791733,105.815656
,,12.0,16.0,Sổ đỏ/ Sổ hồng,,9.0,7.0,,Hà Nội,Hai Bà Trưng,Phường Bùi Thị Xuân,Đường Tuệ Tĩnh,250.0,223000.0,21.0167569,105.8497633
,,,,Sổ đỏ/ Sổ hồng,,,45.0,,Hà Nội,Thanh Trì,Xã Đại Áng,,2700.0,27000.0,21.0283334,105.854041
,,,,Sổ đỏ/ Sổ hồng,,,50.0,,Hà Nội,Thanh Trì,Xã Tân Triều,,1038.0,48000.0,21.0283334,105.854041
,,,,,,,,,Hà Nội,Đống Đa,Phường Thổ Quan,Phố Khâm Thiên,47.0,950.0,21.0283334,105.854041
,,4.0,4.0,"Sổ đỏ chính chủ, giao dịch ngay.",Nội thất đầy đủ.,4.0,4.3,,Hà Nội,Ba Đình,Phường Ngọc Khánh,Phố Kim Mã,55.0,5950.0,21.0305405,105.806702
,,7.0,8.0,Sổ đỏ.,,6.0,5.0,,Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,Đường Tân Khai,112.0,22500.0,20.9906699,105.853436
,,10.0,12.0,Sổ đỏ,,7.0,5.5,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Xã Đàn,60.0,37000.0,21.021334,105.8243089
,,5.0,6.0,Sổ đỏ,Full nội thất xịn.,5.0,,,Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Nam Dư,45.0,5900.0,20.9712353,105.8842808
,,,,Sổ đỏ/ Sổ hồng.,,,5.3,3,Hà Nội,Hoài Đức,Xã An Thượng,Đường An Hạ 3,115.0,747.5,20.9599107,105.7387786
,,4.0,3.0,Sổ đỏ,"Cửa 2 lớp, bên trong cửa kính bên ngoài cửa cuốn, cầu thang và cửa thông phòng gỗ Lim Nam Phi, thiết bị vệ sinh Inax, trần thạch cao các phòng, gạch chống xước, điều hòa, nóng lạnh, cáp mạng...",4.0,3.4,2.5,Hà Nội,Hà Đông,Phường Vạn Phúc,Đường Đại Mỗ,38.0,3300.0,20.9799295,105.774952
Tây - Bắc,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp.,,,,Hà Nội,Bắc Từ Liêm,Phường Phú Diễn,Đường Hồ Tùng Mậu,104.0,3600.0,21.0461067,105.762101
,,4.0,5.0,Sổ đỏ/ Sổ hồng,,5.0,,,Hà Nội,Hai Bà Trưng,Phường Thanh Nhàn,Đường Võ Thị Sáu,50.0,9500.0,21.006634,105.8561736
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội,Gia Lâm,Xã Dương Xá,,115.0,5750.0,21.0028663,105.9658013
Tây - Bắc,Đông - Nam,3.0,2.0,Hợp đồng mua bán,Chủ đầu tư,,,,Hà Nội,Gia Lâm,Xã Dương Xá,,115.0,4600.0,21.0028663,105.9658013
Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,81.2,4600.0,21.0028663,105.9658013
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,Đường Phạm Văn Đồng,46.0,2700.0,21.0799477,105.7736253
Tây - Bắc,Tây - Bắc,3.0,3.0,Sổ đỏ,Đầy đủ nội thất cao cấp,3.0,4.0,3,Hà Nội,Hà Đông,Phường Yên Nghĩa,,54.0,2400.0,20.9307173,105.7331428
,,3.0,3.0,Sổ đỏ/ Sổ hồng,Full,3.0,5.5,20,Hà Nội,Hoàn Kiếm,Phường Hàng Buồm,Đường Đào Duy Từ,65.0,58000.0,21.0355207,105.8523269
,,,,Sổ đỏ.,,4.0,6.0,11,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,,84.0,11000.0,21.0076419,105.9372958
Đông,Đông,4.0,4.0,Sổ đỏ,Đầy đủ nội thất cơ bản.,4.0,3.5,6,Hà Nội,Hà Đông,Phường Biên Giang,Đường Quốc lộ 6,34.0,2600.0,20.9309225,105.7169082
,,5.0,3.0,,,5.0,,2.5,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Đường Ô Chợ Dừa,52.0,4600.0,21.021334,105.8243089
,,,,,,4.0,6.0,,Hà Nội,Gia Lâm,Xã Đặng Xá,Đường Nguyễn Đức Thuận,132.0,12300.0,21.0171303,105.9478354
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Võ Chí Công,55.0,6700.0,21.0791733,105.815656
Nam,Nam,5.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản cao cấp,4.0,4.0,3,Hà Nội,Hà Đông,Phường Yên Nghĩa,Đường Yên Lộ,38.0,2250.0,20.9307173,105.7331428
Đông - Nam,,3.0,3.0,Sổ đỏ/ Sổ hồng,Full.,3.0,14.0,20,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Trần Kim Xuyến,120.0,40000.0,21.0159572,105.7937939
,,,,,,4.0,,,Hà Nội,Gia Lâm,Xã Đặng Xá,Đường Nguyễn Đức Thuận,132.0,12200.0,21.0171303,105.9478354
,,,,Sổ đỏ.,,,7.3,5,Hà Nội,Đông Anh,Xã Vân Nội,Đường Vân Trì,131.0,4500.0,21.1319158,105.9042259
,,,,Sổ đỏ/ Sổ hồng,,,,10,Hà Nội,Thanh Oai,Xã Tân Ước,Đường 21B,100.0,2140.0,21.0283334,105.854041
,,,,Sổ đỏ.,,,4.5,,Hà Nội,Hoàng Mai,Phường Giáp Bát,Đường Kim Đồng,68.0,10000.0,20.9846404,105.8431859
Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,,,Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường Phan Trọng Tuệ,66.0,1390.0,20.9537589,105.808855
,,4.0,12.0,Sổ đỏ/ Sổ hồng,,9.0,11.0,14,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Hoàng Ngân,171.0,86000.0,21.0373324,105.7910892
,,,,Sổ đỏ/ Sổ hồng,,,3.15,4,Hà Nội,Chương Mỹ,Xã Phụng Châu,Đường Liên Xã,112.0,1568.0,20.9445056,105.7032036
Bắc,,3.0,3.0,,,4.0,5.0,4,Hà Nội,Tây Hồ,Phường Xuân La,Đường Võ Chí Công,135.0,35000.0,21.0684199,105.8072107
Tây,Đông,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,,,,Hà Nội,Hà Đông,Phường Phú Lãm,,62.0,1420.0,22.8319269,104.9873233
,,3.0,,,,,,,Hà Nội,Hoàng Mai,Phường Yên Sở,Đường Pháp Vân,96.0,4250.0,20.9649601,105.8734278
Đông - Nam,Tây - Bắc,2.0,1.0,Đã có sổ.,"Tủ bếp, bếp, điều hòa, mành rèm, giường, tủ quần áo, sofa, nóng lạnh, tivi, máy giặt...",,,,Hà Nội,Hà Đông,Phường Dương Nội,Đường Nguyễn Văn Trác,56.0,1550.0,20.9624811,105.743952
Tây,Đông,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Nguyễn Cảnh Dị,85.0,3250.0,20.9729657,105.8366725
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,4.0,3,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Hoàng Văn Thái,42.0,5450.0,21.0283334,105.854041
Đông - Nam,Đông - Nam,6.0,4.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,6.0,3.2,3.5,Hà Nội,Ba Đình,Phường Liễu Giai,Đường Quần Ngựa,60.0,16500.0,21.0337658,105.8130407
,,6.0,6.0,,,7.0,5.0,12,Hà Nội,Đống Đa,Phường Phương Liên,Phố Xã Đàn,50.0,37000.0,21.0099244,105.8375074
Bắc,Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Đống Đa,Phường Láng Thượng,Đường Huỳnh Thúc Kháng,95.0,7500.0,21.0229999,105.8061749
,Đông - Nam,3.0,2.0,,,,,,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Đại Từ,125.0,3250.0,20.9729657,105.8366725
,,,,,,,,,Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Dương Văn Bé,115.5,4400.0,21.0141355,105.8654629
,,5.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,6.0,6,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,59.0,17700.0,21.0437217,105.8197536
,,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Dương Văn Bé,118.0,4000.0,21.0141355,105.8654629
,,,,Sổ đỏ,,,3.5,2,Hà Nội,Hà Đông,Phường Mỗ Lao,Đường Trần Phú,37.0,3100.0,20.9853667,105.783635
,,3.0,2.0,Hợp đồng mua bán,Nguyên bản,,,,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,Đường Phạm Văn Đồng,97.0,4000.0,21.0799477,105.7736253
,,3.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,6.0,,3,Hà Nội,Ba Đình,Phường Cống Vị,Đường Phan Kế Bính,36.0,4500.0,21.0337658,105.8130407
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Đống Đa,Phường Trung Liệt,Phố Thái Hà,80.0,24000.0,21.0110935,105.8213374
Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,Hà Nội,Long Biên,Phường Giang Biên,Phố Việt Hưng,73.0,2500.0,20.9308258,105.7165038
,,3.0,3.0,Sổ đỏ,,8.0,4.2,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Nguyễn Chánh,66.0,26800.0,21.0373324,105.7910892
,,,,,,,,,Hà Nội,Bắc Từ Liêm,Phường Phúc Diễn,Đường Cầu Diễn,150.0,29500.0,21.0283334,105.854041
,,4.0,,Sổ đỏ/ Sổ hồng.,"Nội thất đầy đủ, thông sàn kinh doanh",4.0,8.2,8,Hà Nội,Long Biên,Phường Bồ Đề,Đường Nguyễn Sơn,90.0,9500.0,21.0455068,105.8691113
Đông,Tây,3.0,2.0,,Đủ nội thất cao cấp.,,,,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,,114.0,5500.0,21.0799477,105.7736253
,,3.0,,Sổ đỏ/ Sổ hồng,,4.0,5.6,3,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Khang,85.0,9900.0,21.0159572,105.7937939
,,,,Sổ đỏ/ Sổ hồng.,,,5.5,8,Hà Nội,Long Biên,Phường Phúc Đồng,,90.0,9450.0,21.0385726,105.8981935
,,,,,,,,,Hà Nội,Hoài Đức,Xã An Khánh,Đường Láng Hòa Lạc,188.0,21000.0,20.9599107,105.7387786
Tây - Bắc,,,,,,,,,Hà Nội,Đông Anh,Xã Đông Hội,,40.0,1480.0,21.0805036,105.8730278
Tây - Bắc,,,,,,,,5,Hà Nội,Thạch Thất,Xã Tiến Xuân,,75.0,1700.0,21.0283334,105.854041
Đông - Nam,,,,,,,,,Hà Nội,Đông Anh,Xã Đông Hội,,61.0,1769.0,21.0805036,105.8730278
,,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,3.0,4.5,6,Hà Nội,Hà Đông,Phường Quang Trung,Đường Văn Phú,45.0,5100.0,21.0120316,105.8253054
Tây - Bắc,,,,,,,,,Hà Nội,Đông Anh,Xã Mai Lâm,,51.0,2091.0,21.0907003,105.8898289
,,2.0,,,,2.0,4.0,3,Hà Nội,Cầu Giấy,Phường Dịch Vọng,Đường Nguyễn Khánh Toàn,69.0,7950.0,21.0329958,105.7928552
,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,3.0,,,Hà Nội,Hà Đông,Phường Mỗ Lao,Đường Trần Phú,58.0,7100.0,20.9853667,105.783635
Tây - Bắc,,,,,,,,,Hà Nội,Đông Anh,Xã Đông Hội,,68.0,2924.0,21.0805036,105.8730278
,,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,5.0,4.0,8,Hà Nội,Hà Đông,Phường Nguyễn Trãi,Đường Tô Hiệu,50.0,7000.0,20.9716052,105.7788376
,,2.0,1.0,Sổ đỏ/ Sổ hồng.,,1.0,5.0,4,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,Đường Lý Thánh Tông,85.0,4900.0,21.0076419,105.9372958
,,,,Sổ đỏ/ Sổ hồng,,5.0,5.0,,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Vương Thừa Vũ,65.0,7500.0,21.0283334,105.854041
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,,77.7,3200.0,21.0205027,105.7639271
Đông - Bắc,Đông - Bắc,4.0,4.0,"Sổ đỏ chính chủ, vuông vắn.","Nội thất nhập khẩu, hiện đại, tiện nghi.",5.0,4.0,4,Hà Nội,Long Biên,Phường Bồ Đề,Phố Hồng Tiến,75.0,11400.0,21.0455068,105.8691113
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Đông Anh,Xã Vĩnh Ngọc,,50.0,2300.0,21.1152806,105.8251653
,,4.0,3.0,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội,Hoàng Mai,Phường Vĩnh Hưng,Đường Tân Mai,87.0,2800.0,20.9946062,105.885675
Đông - Nam,,6.0,5.0,Sổ đỏ,Đầy đủ,5.0,4.5,6,Hà Nội,Hà Đông,Phường La Khê,Đường Phan Đình Giót,92.0,8500.0,21.0283334,105.854041
Đông - Nam,Đông - Nam,4.0,3.0,Đã có sổ.,Cơ bản.,4.0,,,Hà Nội,Long Biên,Phường Thượng Thanh,Đường Thanh Am,50.0,4600.0,21.0180529,105.9016988
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,"Đồ cơ bản của chủ đầu tư bao gồm có: 4 điều hòa, 2 nóng lạnh, tủ bếp có bếp từ hút mùi Hafele, sàn gỗ nhập khẩu, trần thạch cao, phòng tắm có vách kính, rèm cửa, dàn phơi,... Thiết bị vệ sinh ToTo, th",,,,Hà Nội,Long Biên,Phường Giang Biên,,80.0,2700.0,20.9308258,105.7165038
Tây - Nam,,,1.0,Sổ đỏ/ Sổ hồng.,"Trần thạch cao, 2 điều hòa, wc full thiết bị.",,10.0,40,Hà Nội,Long Biên,Phường Giang Biên,Đường Mai Chí Thọ,88.0,3800.0,20.9308258,105.7165038
,,4.0,3.0,Chính chủ.,Full nội thất đẹp.,5.0,,,Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Tây Trà,31.0,4200.0,20.9712353,105.8842808
,,5.0,6.0,Đã có sổ đỏ,,7.0,,,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Nguyễn Cảnh Dị,54.0,13900.0,20.9729657,105.8366725
Tây - Bắc,Đông - Nam,5.0,3.0,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,,,Hà Nội,Long Biên,Phường Đức Giang,,200.0,4700.0,21.0602793,105.8938304
,,5.0,4.0,Sổ đỏ/ Sổ hồng,Tặng nội thất,5.0,4.0,3,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,đường Mỹ Đình,44.0,3950.0,21.0274134,105.7833341
,,6.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,5.0,8,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Nguyễn Viết Xuân,70.0,16000.0,21.0283334,105.854041
